booklet_item,Booklet_new,Item,Slope,X,Location,X.1,Guessing,X.2,Step.1,X.3,Step.2,X.4,type,subbank,module
M03_04,No,M052035,1.473,-0.043,0.318,-0.016,NA,NA,NA,NA,NA,NA,2PL,C0,C0
M13_13A,No,M052418A,1.976,-0.108,0.742,-0.022,0.165,-0.009,NA,NA,NA,NA,3PL,C0,C0
M13_05,No,M052063,1.316,-0.075,0.635,-0.031,0.186,-0.013,NA,NA,NA,NA,3PL,C0,C0
M03_08,No,M052103,1.126,-0.058,0.247,-0.037,0.14,-0.016,NA,NA,NA,NA,3PL,C0,C0
M13_03,No,M052125,1.344,-0.067,0.652,-0.026,0.109,-0.011,NA,NA,NA,NA,3PL,C0,C0
M07_07,No,M042050,1.152,-0.036,0.684,-0.021,NA,NA,NA,NA,NA,NA,2PL,C0,C0
M11_02,No,M052204,0.855,-0.057,0.505,-0.054,0.179,-0.021,NA,NA,NA,NA,3PL,C0,C0
M10_13B,Yes,M062123B,1.545,-0.116,0.752,-0.036,0.138,-0.014,NA,NA,NA,NA,3PL,C0,C0
M10_05,Yes,M062149,1.204,-0.091,0.613,-0.044,0.126,-0.019,NA,NA,NA,NA,3PL,C0,C0
M14_03,Yes,M062146,1.399,-0.106,0.759,-0.037,0.126,-0.015,NA,NA,NA,NA,3PL,C0,C0
M14_02,Yes,M062214,1.158,-0.049,0.453,-0.028,NA,NA,NA,NA,NA,NA,2PL,C0,C0
M02_03B,Yes,M062111B,1.676,-0.072,0.646,-0.022,NA,NA,NA,NA,NA,NA,2PL,C0,C0
M06_09,No,M052042,0.91,-0.029,0.533,-0.025,NA,NA,NA,NA,NA,NA,2PL,C0,E1
M05_07,No,M042066,0.683,-0.024,0.253,-0.029,NA,NA,NA,NA,NA,NA,2PL,C0,E1
M06_12B,No,M052422B,0.705,-0.048,0.266,-0.076,0.143,-0.028,NA,NA,NA,NA,3PL,C0,E1
M03_01,No,M052209,1.459,-0.068,-0.052,-0.031,0.157,-0.016,NA,NA,NA,NA,3PL,E1,E1
M03_11,No,M052057,0.659,-0.045,0.048,-0.093,0.151,-0.034,NA,NA,NA,NA,3PL,E1,E1
M07_02,No,M042196,1.098,-0.05,0.013,-0.036,0.091,-0.016,NA,NA,NA,NA,3PL,E1,E1
M05_02,No,M042060,1.333,-0.066,0.112,-0.033,0.169,-0.016,NA,NA,NA,NA,3PL,E1,E1
M14_07,Yes,M062242,1.248,-0.09,0.19,-0.051,0.161,-0.024,NA,NA,NA,NA,3PL,E1,E1
M14_04,Yes,M062154,1.352,-0.054,-0.03,-0.024,NA,NA,NA,NA,NA,NA,2PL,E1,E1
M12_08,Yes,M062030,0.513,-0.03,0.039,-0.05,NA,NA,NA,NA,NA,NA,2PL,E1,E1
M02_03A,Yes,M062111A,1.376,-0.056,0.164,-0.023,NA,NA,NA,NA,NA,NA,2PL,E1,E1
M08_03,Yes,M062164,1.389,-0.099,0.154,-0.046,0.18,-0.023,NA,NA,NA,NA,3PL,E1,E1
M06_09,No,M052042,0.91,-0.029,0.533,-0.025,NA,NA,NA,NA,NA,NA,2PL,C0,D1
M05_07,No,M042066,0.683,-0.024,0.253,-0.029,NA,NA,NA,NA,NA,NA,2PL,C0,D1
M06_12B,No,M052422B,0.705,-0.048,0.266,-0.076,0.143,-0.028,NA,NA,NA,NA,3PL,C0,D1
M07_08C,No,M042074C,1.754,-0.058,0.977,-0.018,NA,NA,NA,NA,NA,NA,2PL,D1,D1
M03_13,No,M052501,0.874,-0.031,1,-0.031,NA,NA,NA,NA,NA,NA,2PL,D1,D1
M13_10,No,M052083,1.553,-0.09,0.9,-0.026,0.159,-0.01,NA,NA,NA,NA,3PL,D1,D1
M01_12,No,M042268,1.53,-0.095,1.037,-0.027,0.151,-0.009,NA,NA,NA,NA,3PL,D1,D1
M04_05,Yes,M062056,1.326,-0.064,1.127,-0.034,NA,NA,NA,NA,NA,NA,2PL,D1,D1
M12_04,Yes,M062143,1.65,-0.074,0.887,-0.025,NA,NA,NA,NA,NA,NA,2PL,D1,D1
M14_08B,Yes,M062250B,1.388,-0.063,0.885,-0.028,NA,NA,NA,NA,NA,NA,2PL,D1,D1
M12_10,Yes,M062301,1.147,-0.054,1.05,-0.036,NA,NA,NA,NA,NA,NA,2PL,D1,D1
M02_09,Yes,M062246,2.166,-0.197,1.105,-0.031,0.172,-0.011,NA,NA,NA,NA,3PL,D1,D1
M06_08A,No,M052121A,1.045,-0.052,0.26,-0.036,0.098,-0.016,NA,NA,NA,NA,3PL,C0,E2
M03_02,No,M052142,1.03,-0.064,0.818,-0.037,0.144,-0.014,NA,NA,NA,NA,3PL,C0,E2
M01_11,No,M042271,1.143,-0.057,0.256,-0.034,0.122,-0.015,NA,NA,NA,NA,3PL,C0,E2
M07_14,No,M042261,0.692,-0.045,-0.079,-0.088,0.142,-0.033,NA,NA,NA,NA,3PL,E2,E2
M05_16,No,M042224,0.915,-0.029,-0.075,-0.023,NA,NA,NA,NA,NA,NA,2PL,E2,E2
M13_02A,No,M052058A,1.226,-0.036,-0.259,-0.019,NA,NA,NA,NA,NA,NA,2PL,E2,E2
M05_01,No,M042183,0.681,-0.044,-0.105,-0.091,0.143,-0.034,NA,NA,NA,NA,3PL,E2,E2
M08_07,Yes,M062223,1.306,-0.092,-0.14,-0.056,0.175,-0.029,NA,NA,NA,NA,3PL,E2,E2
M08_14A,Yes,M062132A,1.186,-0.05,-0.251,-0.028,NA,NA,NA,NA,NA,NA,2PL,E2,E2
M12_09,Yes,M062171,0.821,-0.065,-0.231,-0.102,0.083,-0.047,NA,NA,NA,NA,3PL,E2,E2
M10_01,Yes,M062150,1.136,-0.047,-0.174,-0.027,NA,NA,NA,NA,NA,NA,2PL,E2,E2
M08_04,Yes,M062142,0.912,-0.04,-0.224,-0.033,NA,NA,NA,NA,NA,NA,2PL,E2,E2
M06_08A,No,M052121A,1.045,-0.052,0.26,-0.036,0.098,-0.016,NA,NA,NA,NA,3PL,C0,M0
M03_02,No,M052142,1.03,-0.064,0.818,-0.037,0.144,-0.014,NA,NA,NA,NA,3PL,C0,M0
M01_11,No,M042271,1.143,-0.057,0.256,-0.034,0.122,-0.015,NA,NA,NA,NA,3PL,C0,M0
M06_08A,No,M052121A,1.045,-0.052,0.26,-0.036,0.098,-0.016,NA,NA,NA,NA,3PL,C0,M0
M03_02,No,M052142,1.03,-0.064,0.818,-0.037,0.144,-0.014,NA,NA,NA,NA,3PL,C0,M0
M01_11,No,M042271,1.143,-0.057,0.256,-0.034,0.122,-0.015,NA,NA,NA,NA,3PL,C0,M0
M05_03,No,M042019,0.765,-0.026,0.488,-0.028,NA,NA,NA,NA,NA,NA,2PL,C0,M0
M04_08,Yes,M062078,1.599,-0.069,0.704,-0.024,NA,NA,NA,NA,NA,NA,2PL,C0,M0
M10_06,Yes,M062241,1.764,-0.076,0.674,-0.022,NA,NA,NA,NA,NA,NA,2PL,C0,M0
M14_03,Yes,M062146,1.399,-0.106,0.759,-0.037,0.126,-0.015,NA,NA,NA,NA,3PL,C0,M0
M02_03B,Yes,M062111B,1.676,-0.072,0.646,-0.022,NA,NA,NA,NA,NA,NA,2PL,C0,M0
M04_03,Yes,M062346,1.136,-0.05,0.779,-0.031,NA,NA,NA,NA,NA,NA,2PL,C0,M0
M06_08A,No,M052121A,1.045,-0.052,0.26,-0.036,0.098,-0.016,NA,NA,NA,NA,3PL,C0,D2
M03_02,No,M052142,1.03,-0.064,0.818,-0.037,0.144,-0.014,NA,NA,NA,NA,3PL,C0,D2
M01_11,No,M042271,1.143,-0.057,0.256,-0.034,0.122,-0.015,NA,NA,NA,NA,3PL,C0,D2
M09_13,No,M052117,0.58,-0.031,2.163,-0.095,NA,NA,NA,NA,NA,NA,2PL,D2,D2
M06_08B,No,M052121B,1.89,-0.079,1.472,-0.025,NA,NA,NA,NA,NA,NA,2PL,D2,D2
M13_09,No,M052046,1.148,-0.101,1.517,-0.047,0.186,-0.01,NA,NA,NA,NA,3PL,D2,D2
M05_11B,No,M042080B,1.313,-0.048,1.313,-0.028,NA,NA,NA,NA,NA,NA,2PL,D2,D2
M04_11,Yes,M062287,1.237,-0.067,1.45,-0.045,NA,NA,NA,NA,NA,NA,2PL,D2,D2
M08_05,Yes,M062084,1.398,-0.167,1.582,-0.057,0.151,-0.012,NA,NA,NA,NA,3PL,D2,D2
M14_10,Yes,M062192,1.058,-0.053,1.178,-0.042,NA,NA,NA,NA,NA,NA,2PL,D2,D2
M04_13,Yes,M062115,1.577,-0.179,1.397,-0.047,0.199,-0.013,NA,NA,NA,NA,3PL,D2,D2
M08_11,Yes,M062261,1.706,-0.183,1.498,-0.044,0.128,-0.01,NA,NA,NA,NA,3PL,D2,D2
